state,num,x,y
adrar,1,-86.0,-72.0
chlef,2,-49.0,312.0
Aghwat,3,37.0,220.0
oumelbwaki,4,187.0,315.0
batna,5,155.0,300.0
bidjaya,6,113.0,344.0
bissekra,7,127.0,268.0
bachar,8,-150.0,68.0
elbolayda,9,17.0,323.0
bwira,10,74.0,324.0
tamanrasat,11,97.0,-144.0
tbassa,12,219.0,273.0
tilimsan,13,-104.0,262.0
tiyarat,14,-9.0,278.0
tiziwazo,15,89.0,344.0
eldjazair,16,49.0,345.0
eldjalfa,17,55.0,263.0
djidjel,18,155.0,347.0
stif,19,135.0,325.0
s_ida,20,-45.0,260.0
skikda,21,180.0,344.0
sidi belabas,22,-79.0,262.0
anaba,23,207.0,352.0
ghalma,24,202.0,336.0
kassantina,25,179.0,332.0
elmdiya,26,52.0,324.0
mostaghanam,27,-48.0,312.0
elmsila,28,87.0,288.0
moaskar,29,-47.0,291.0
wargla,30,148.0,127.0
wahran,31,-77.0,300.0
elbayad,32,-21.0,184.0
ilizi,33,216.0,-39.0
bordj bouriridje,34,107.0,321.0
boumardas,35,70.0,344.0
taraf,36,231.0,346.0
tindof,37,-283.0,-24.0
ticemsilet,38,5.0,306.0
elwadi,39,191.0,206.0
khanchla,40,187.0,273.0
sog ahras,41,222.0,325.0
tipaza,42,19.0,336.0
mila,43,159.0,331.0
ayn dafla,44,15.0,322.0
naama,45,-83.0,207.0
ayn tmochent,46,-96.0,288.0
ghardaya,47,56.0,119.0
ghilizan,48,-31.0,305.0

